No.Transaksi,Daftar Barang
59,"Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Tepung Beras Rose Brand Kemasan 1/2kg,Minyak Goreng Permata 1 Dus"
60,Tepung Beras Rose Brand Kemasan 1/2kg 1 Plastik
61,Tepung Beras Rose Brand Kemasan 1/4kg 1 Plastik
62,Tepung Kanji Gunung Agung 1 Sak
63,"Minyak Sawit Kemasan Jerigen,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus"
64,"Gula Jawa,Minyak Sawit Kemasan 1 Liter"
65,"Minyak Goreng Permata 1 Dus,Gula Pasir Kemasan 1/2kg,Tepung Kanji Kemasan 1kg"
66,"Minyak Sawit Kemasan 1 Liter,Gula Pasir Kemasan 1/2kg,Tepung Terigu Lm Kemasan 1kg 1 Dus"
67,Minyak Sawit Kemasan 1 Liter
68,"Tepung Kanji Gunung Agung 1 Sak,Tepung Kanji Kemasan 1kg,Minyak Sawit Kemasan 1 Liter,Tepung Beras Rose Brand Kemasan 1/2kg "
69,"Tepung Beras Rose Brand Kemasan 1/2kg,Tepung Kanji Gunung Agung 1 Sak,Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus"
70,Telur Biasa 1 Peti
71,Tepung Beras Rose Brand Kemasan 1/2kg
72,Tepung Kanji Gunung Agung 1 Sak
73,Telur Biasa 1 Peti
74,"Tepung Terigu Segitiga Biru 1 Sak,Telur Biasa 1 Peti,Telur Mini 1 Peti,Gula Pasir Kemasan 1/2kg"
75,Gula Pasir Kemasan 1/2kg
76,Tepung Terigu Lm Kemasan 1kg 1 Dus
77,Gula Pasir Kemasan 1/2kg
78,Gula Pasir Kemasan 1/2kg
79,Minyak Sawit Kemasan Jerigen
80,Gula Kristal 1 Sak
81,"Beras C4 1 Sak,Gula Jawa,Minyak Sawit Kemasan 1kg,Tepung Terigu Lm Kemasan 1kg 1 Dus,Telur Biasa 1 Peti"
82,"Minyak Sawit Kemasan Jerigen,Tepung Beras Rose Brand Kemasan 1/2kg,Tepung Terigu Payung 1 Sak,Gula Pasir Kemasan 1/2kg"
83,"Telur Biasa 1 Peti,Gula Pasir Kemasan 1/2kg,Minyak Sawit Kemasan 1kg"
84,"Minyak Sawit Kemasan 1kg,Telur Mini 1 Peti,Telur Biasa 1 Peti,"
85,"Telur Mini 1 Peti,Telur Biasa 1 Peti,Minyak Sawit Kemasan 1kg"
86,"Tepung Terigu Payung 1 Sak,Santan Kara 1 Dus,Gula Jawa,Tepung Terigu Lm Kemasan 1kg 1 Dus"
87,"Gula Pasir Kemasan 1/2kg,Minyak Sawit Kemasan 1/2kg"
88,Telur Biasa 1 Peti
89,Telur Biasa 1 Peti
90,Tepung Terigu Segitiga Biru 1 Sak
91,Telur Biasa 1 Peti
92,"Gula Pasir Kemasan 1/2kg,Mie Jagung 1 Dus"
93,Minyak Goreng Fortune
94,"Tepung Terigu Segitiga Biru 1 Sak,Telur Biasa 1 Peti"
95,"Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus, Tepung Terigu Payung Kemasan 1kg"
96,Gula Pasir Kemasan 1/2kg
97,"Gula Pasir Kemasan 1/2kg,Tepung Beras Rose Brand Kemasan 1kg"
98,Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus
99,Beras C4 1 Sak
100,Gula Pasir Kemasan 1/2kg
101,Telur Mini 1 Peti
102,"Minyak Sawit Kemasan 1kg,Gula Pasir Kemasan 1/2kg,Gula Jawa,Tepung Terigu Kemasan 1kg"
103,"Gula Pasir Kemasan 1/2kg,Tepung Terigu Lm Kemasan 1kg 1 Dus"
104,"Gula Pasir Kemasan 1/2kg,Tepung Terigu Cakra Kemasan 1kg,Tepung Terigu Lm 1 Sak"
105,Tepung Kanji Gunung Agung 1 Sak
106,"Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Gula Pasir Kemasan 1/2kg,Minyak Sawit Kemasan Jerigen"
107,"Minyak Sawit Kemasan 1 Liter,Gula Pasir Kemasan 1/2kg"
108,"Gula Kristal 1 Sak,Tepung Terigu Segitiga Biru 1 Sak"
109,Minyak Sawit Kemasan Jerigen
110,Minyak Sawit Kemasan 1 Liter
111,Minyak Sawit Kemasan 1 Liter
112,"Minyak Sawit Kemasan Jerigen,Minyak Sawit Kemasan 1 Liter"
113,Minyak Sawit Kemasan 1 Liter
114,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus
115,"Gula Pasir Kemasan 1/2kg,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Tepung Terigu Segitiga Biru 1 Sak,Minyak Sawit Kemasan Jerigen"
116,Telur Biasa 1 Peti
117,Telur Biasa 1 Peti
118,Minyak Sawit Kemasan Jerigen
119,Telur Biasa 1 Peti
120,Telur Biasa 1 Peti
121,"Minyak Sawit Kemasan 1 Liter,Gula Pasir Kemasan 1/2kg"
122,"Minyak Sawit Kemasan 1 Liter,Gula Pasir Kemasan 1/2kg,Tepung Terigu Segitiga Biru 1 Sak,Tepung Terigu Payung 1 Sak,Telur Mini 1 Peti,Tepung Beras Rose Brand Kemasan 1/2kg"
123,Mie Burung Dara 1 Ikat
124,"Mie Burung Dara 1 Ikat,Mie Burung Dara 1 Dus,Minyak Sawit Kemasan 1 Liter,Tepung Terigu Lm Kemasan 1kg 1 Dus,Beras C4 1 Sak"
125,"Minyak Sawit Kemasan Jerigen,Tepung Beras Bola 1 Dus,Telur Biasa 1 Peti,Gula Kristal 1 Sak"
126,"Telur Mini 1 Peti,Minyak Sawit Kemasan 1kg"
127,Tepung Terigu Segitiga Biru 1 Sak
128,"Telur Mini 1 Peti, Telur Biasa 1 Peti"
129,"Gula Pasir Kemasan 1/2kg,Minyak Sawit Kemasan 1kg"
130,"Telur Mini 1 Peti,Telur Biasa 1 Peti"
131,Minyak Sawit Kemasan 1kg
132,Gula Pasir Kemasan 1/2kg
133,"Telur Mini 1 Peti, Santan Kara 1 Dus"
134,Telur Biasa 1 Peti
135,"Minyak Sawit Kemasan 1kg,Gula Pasir Kemasan 1/2kg,Tepung Terigu Payung Kemasan 1kg,Gula Jawa"
136,Tepung Kanji Gunung Agung 1 Sak
137,"Telur Biasa 1 Peti,Gula Pasir Kemasan 1/2kg "
138,"Tepung Terigu Lm Kemasan 1kg 1 Dus,Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus"
139,Minyak Sawit Kemasan Jerigen
140,"Minyak Sawit Kemasan 1kg,Kerupuk Unyil,Gula Pasir Kemasan 1/2kg,Tepung Kanji Gunung Agung 1 Sak,Telur Biasa 1 Peti"
141,Gula Pasir Kemasan 1/2kg
142,"Telur Biasa 1 Peti,Gula Pasir Kemasan 1/2kg,Tepung Terigu Segitiga Biru 1 Sak"
143,Tepung Terigu Segitiga Biru 1 Sak
144,"Telur Biasa 1 Peti,Minyak Sawit Kemasan Jerigen"
145,Gula Pasir Kemasan 1/2kg
146,Minyak Sawit Kemasan 1 Liter
147,"Gula Pasir Kemasan 1/2kg,Tepung Terigu Lm Kemasan 1kg 1 Dus"
148,Kerupuk Unyil
149,Telur Mini 1 Peti
150,Gula Pasir Kemasan 1/2kg
151,Tepung Kanji Gunung Agung 1 Sak
152,"Tepung Terigu Segitiga Biru 1 Sak,Tepung Kanji Kemasan 1kg"
153,"Gula Pasir Kemasan 1/2kg,Minyak Sawit Kemasan Jerigen"
154,Tepung Terigu Payung 1 Sak
155,Telur Mini 1 Peti
156,"Tepung Kanji Gunung Agung 1 Sak,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Gula Pasir Kemasan 1/2kg,Tepung Terigu Segitiga Biru 1 Sak,Tepung Terigu Payung 1 Sak,Minyak Sawit Kemasan Jerigen "
157,Telur Mini 1 Peti
158,"Kerupuk Unyil,Telur Biasa 1 Peti"
159,Telur Biasa 1 Peti
160,Telur Biasa 1 Peti
161,"Telur Biasa 1 Peti,Minyak Sawit Kemasan 1kg,Tepung Terigu Segitiga Biru 1 Sak,Tepung Terigu Lm 1 Sak,Gula Pasir Kemasan 1/2kg,Santan Kara 1 Dus"
162,"Minyak Sawit Kemasan 1 Liter,Teh Jengot 1 Ball,Gula Pasir Kemasan 1/2kg"
163,"Tepung Terigu Segitiga Biru 1 Sak,Gula Pasir Kemasan 1/2kg,Telur Mini 1 Peti"
164,Telur Biasa 1 Peti
165,Gula Kristal Putih 1 Sak
166,Gula Pasir Kemasan 1/2kg
167,"Minyak Sawit Kemasan 1kg,Beras C4 1 Sak,Mie Burung Dara 1 Ikat,Tepung Terigu Lm Kemasan 1kg 1 Dus,Telur Mini 1 Peti,Gula Jawa,Kerupuk Unyil"
168,"Gula Kristal Putih 1 Sak, Minyak Sawit Kemasan Jerigen,Telur Biasa 1 Peti, Tepung Beras Bola 1 Dus"
169,"Telur Mini 1 Peti, Minyak Sawit Kemasan 1/2kg,Gula Pasir Kemasan 1/2kg,Tepung Terigu Payung 1 Sak"
170,Kerupuk Unyil
171,"Telur Biasa 1 Peti,Telur Mini 1 Peti,Minyak Goreng Permata 1 Dus"
172,"Gula Pasir Kemasan 1/2kg,Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus"
173,"Telur Mini 1 Peti,Telur Biasa 1 Peti"
174,Tepung Terigu Payung 1 Sak
175,Telur Mini 1 Peti
176,Minyak Goreng Permata 1 Dus
177,"Gula Pasir Kemasan 1/2kg,Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Gula Jawa, Mie Burung Dara 1 Ikat"
178,Gula Kristal 1 Sak
179,Gula Pasir Kemasan 1/2kg
180,"Minyak Sawit Kemasan 1kg,Gula Pasir Kemasan 1/2kg,Mie Burung Dara 1 Ikat,Telur Mini 1 Peti,Tepung Terigu Cakra 1 Sak"
181,"Telur Mini 1 Peti,Mie Jagung 1 Dus,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus,Tepung Terigu Lm Kemasan 1kg 1 Dus,Santan Kara 1 Dus"
182,Tepung Terigu Payung Kemasan 1kg
183,Tepung Terigu Lm 1 Sak
184,"Tepung Terigu Segitiga Biru 1 Sak,Gula Pasir Kemasan 1/2kg"
185,Tepung Terigu Payung 1 Sak
186,Tepung Terigu Payung 1 Sak
187,"Telur Mini 1 Peti,Telur Biasa 1 Peti,Gula Pasir Kemasan 1/2kg"
188,"Mie Burung Dara 1 Ikat,Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus"
189,Telur Biasa 1 Peti
190,Gula Pasir Kemasan 1/2kg
191,"Minyak Goreng Permata 1 Dus,Minyak Sawit Kemasan 1 Liter"
192,Minyak Sawit Kemasan 1 Liter
193,"Tepung Terigu Segitiga Biru 1 Sak,Minyak Sawit Kemasan Jerigen"
194,"Minyak Sawit Kemasan Jerigen,Santan Kara 1 Dus"
195,"Gula Pasir Kemasan 1/2kg,Minyak Sawit Kemasan 1 Liter"
196,Minyak Sawit Kemasan Jerigen
197,"Minyak Goreng Permata 1 Dus,Tepung Beras Rose Brand Kemasan 1kg"
198,Telur Biasa 1 Peti
199,"Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Minyak Sawit Kemasan Jerigen,Minyak Goreng Kita 1 Dus"
200,"Gula Pasir Kemasan 1/2kg,Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus"
201,"Gula Pasir Kemasan 1/2kg,Tepung Beras Rose Brand Kemasan 1/2kg"
202,Minyak Sawit Kemasan Jerigen
203,Minyak Sawit Kemasan 1 Liter
204,"Santan Kara 1 Dus,Minyak Sawit Kemasan 1 Liter,Mie Burung Dara 1 Dus,Telur Biasa 1 Peti"
205,Telur Biasa 1 Peti
206,Minyak Goreng Sinar Mas 1 Dus
207,Tepung Kanji Gunung Agung 1 Sak
208,"Telur Mini 1 Peti,Gula Pasir Kemasan 1/2kg,Tepung Terigu Segitiga Biru 1 Sak,Tepung Kanji Kemasan 1kg,Telur Biasa 1 Peti"
209,"Gula Pasir Kemasan 1/2kg,Minyak Sawit Kemasan Jerigen"
210,Gula Pasir Kemasan 1/2kg
211,Gula Pasir Kemasan 1/2kg
212,Gula Pasir Kemasan 1/2kg
213,Santan Kara 1 Dus
214,Gula Pasir Kemasan 1/2kg
215,Mie Jagung 1 Dus
216,Minyak Goreng Sinar Mas 1 Dus
217,Tepung Terigu Jawara 1 Sak
218,Telur Biasa 1 Peti
219,"Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus, Tepung Kanji Gunung Agung 1 Sak"
220,Tepung Beras Rose Brand Kemasan 1/4kg
221,Minyak Goreng Sinar Mas 1 Dus
222,Tepung Kanji Gunung Agung 1 Sak
223,Tepung Beras Bola 1 Dus
224,"Santan Kara 1 Dus,Minyak Sawit Kemasan Jerigen,Gula Pasir Kemasan 1/2kg"
225,"Minyak Sawit Kemasan Jerigen,Gula Kristal Putih 1 Sak"
226,"Gula Pasir Kemasan 1/2kg,Tepung Terigu Lm 1 Sak"
227,"Minyak Sawit Kemasan Jerigen,Tepung Terigu Jawara 1 Sak,Tepung Beras Rose Brand Kemasan 1/2kg "
228,Tepung Beras Bola 1 Dus
229,Telur Biasa 1 Peti
230,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus
231,"Gula Pasir Kemasan 1/2kg,Minyak Sawit Kemasan Jerigen,Tepung Terigu Segitiga Biru 1 Sak"
232,Telur Mini 1 Peti
233,Telur Mini 1 Peti
234,"Gula Pasir Kemasan 1/2kg,Telur Mini 1 Peti"
235,Minyak Sawit Kemasan 1 Liter
236,"Mie Burung Dara 1 Ikat,Tepung Terigu Lm 1 Sak,Tepung Kanji Gunung Agung 1 Sak,Gula Pasir Kemasan 1/2kg,Telur Biasa 1 Peti,Tepung Terigu Segitiga Biru 1 Sak,Minyak Goreng Curah 1 Dus,Tepung Beras Rose Brand Kemasan 1/2kg"
237,Mie Burung Dara 1 Ikat
238,"Mie Jagung 1 Dus,Tepung Terigu Payung Kemasan 1kg"
239,"Gula Jawa,Beras C4 1 Sak,Minyak Sawit Kemasan 1 Liter,Tepung Terigu Lm Kemasan 1kg 1 Dus,Telur Mini 1 Peti"
240,"Gula Kristal Putih 1 Sak,Minyak Sawit Kemasan Jerigen,Tepung Beras Bola 1 Dus,Telur Mini 1 Peti "
241,"Telur Biasa 1 Peti,Telur Mini 1 Peti"
242,"Minyak Sawit Kemasan 1 Liter,Tepung Terigu Lm Kemasan 1kg 1 Dus"
243,Minyak Sawit Kemasan 1kg
244,Santan Kara 1 Dus
245,"Minyak Sawit Kemasan 1kg,Telur Biasa 1 Peti,Telur Mini 1 Peti"
246,Telur Mini 1 Peti
247,Minyak Sawit Kemasan 1kg
248,Saos 1 Ikat
249,Gula Pasir Kemasan 1/2kg
250,"Gula Pasir Kemasan 1/2kg,Santan Kara 1 Dus,Minyak Sawit Kemasan 1 Liter,Tepung Terigu Payung 1 Sak,Garam 1 Ball,Tepung Beras Rose Brand Kemasan 1/2kg"
251,"Beras C4 1 Sak,Mie Jagung 1 Dus"
252,"Telur Biasa 1 Peti,Telur Mini 1 Peti,Minyak Sawit Kemasan 1kg"
253,Gula Pasir Kemasan 1/2kg
254,Beras C4 1 Sak
255,"Telur Biasa 1 Peti,Gula Pasir Kemasan 1/2kg"
256,"Tepung Beras Rose Brand Kemasan 1kg,Tepung Terigu Jawara 1 Sak"
257,Tepung Beras Rose Brand Kemasan 1kg
258,Gula Pasir Kemasan 1/2kg
259,Tepung Terigu Cakra Kemasan 1kg
260,Tepung Terigu Lm Kemasan 1kg 1 Dus
261,Gula Pasir Kemasan 1/2kg
262,Telur Biasa 1 Peti
263,Minyak Sawit Kemasan 1 Liter
264,Minyak Sawit Kemasan Jerigen
265,"Tepung Beras Rose Brand Kemasan 1/2kg,Tepung Kanji Kemasan 1kg"
266,"Gula Pasir Kemasan 1/2kg,Tepung Terigu Lm 1 Sak"
267,Tepung Terigu Lm 1 Sak
268,"Tepung Terigu Payung 1 Sak,Tepung Kanji Gunung Agung 1 Sak,Minyak Sawit Kemasan Jerigen"
269,"Telur Biasa 1 Peti,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Gula Pasir Kemasan 1/2kg"
270,"Minyak Sawit Kemasan 1 Liter,Telur Biasa 1 Peti"
271,Tepung Kanji Gunung Agung 1 Sak
272,Gula Pasir Kemasan 1/2kg
273,Gula Pasir Kemasan 1/2kg
274,Gula Pasir Kemasan 1/2kg
275,Minyak Sawit Kemasan 1 Liter
276,"Telur Biasa 1 Peti,Gula Pasir Kemasan 1/2kg"
277,Telur Biasa 1 Peti
278,"Beras Lestari 1 Sak,Gula Jawa,Minyak Sawit Kemasan 1 Liter"
279,"Telur Mini 1 Peti,Minyak Sawit Kemasan 1 Liter"
280,"Tepung Terigu Lm Kemasan 1kg 1 Dus,Gula Jawa,Minyak Sawit Kemasan 1kg"
281,"Minyak Sawit Kemasan Jerigen,Tepung Beras Bola 1 Dus,Telur Biasa 1 Peti"
282,"Telur Biasa 1 Peti,Gula Kristal Putih 1 Sak,Minyak Sawit Kemasan 1/2kg"
283,"Kerupuk Unyil,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Telur Mini 1 Peti,Santan Kara 1 Dus,Tepung Terigu Lm Kemasan 1kg 1 Dus,Tepung Kanji Kemasan 1kg "
284,Kerupuk Unyil
285,"Saos 1 Ikat,Minyak Sawit Kemasan 1kg"
286,"Telur Mini 1 Peti,Telur Biasa 1 Peti"
287,"Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus,Minyak Sawit Kemasan 1kg"
288,"Gula Jawa,Beras C4 1 Sak"
289,Telur Biasa 1 Peti
290,Gula Pasir Kemasan 1/2kg
291,"Gula Pasir Kemasan 1/2kg,Minyak Goreng Curah 1 Dus,Minyak Sawit Kemasan 1 Liter"
292,"Gula Jawa,Tepung Terigu Segitiga Biru 1 Sak"
293,Tepung Terigu Segitiga Biru 1 Sak
294,"Gula Pasir Kemasan 1/2kg,Telur Biasa 1 Peti"
295,"Ladaku 1 Renteng,Sasa 1 Renteng,Tepung Beras Bola 1 Dus"
296,Gula Kristal Putih 1 Sak
297,Tepung Beras Rose Brand Kemasan 1/2kg
298,"Tepung Terigu Cakra 1 Sak,Tepung Terigu Segitiga Biru 1 Sak,Minyak Sawit Kemasan 1 Liter,Santan Kara 1 Dus,Telur Biasa 1 Peti,Minyak Goreng Curah 1 Dus,Minyak Goreng Kita 1 Dus,Gula Pasir Kemasan 1/2kg"
299,"Tepung Kanji Kemasan 1kg,Tepung Terigu Payung Kemasan 1kg"
300,Telur Mini 1 Peti
301,"Gula Pasir Kemasan 1/2kg,Beras C4 1 Sak"
302,"Gula Pasir Kemasan 1/2kg,Tepung Terigu Segitiga Biru 1 Sak,Telur Mini 1 Peti"
303,Gula Pasir Kemasan 1/2kg
304,Tepung Kanji Kemasan 1kg
305,Telur Biasa 1 Peti
306,Gula Pasir Kemasan 1/2kg
307,Tepung Kanji Gunung Agung 1 Sak
308,"Minyak Sawit Kemasan 1 Liter,Gula Pasir Kemasan 1/2kg"
309,"Minyak Goreng Kita 1 Dus,Tepung Beras Rose Brand Kemasan 1/2kg"
310,Minyak Sawit Kemasan Jerigen
311,Gula Pasir Kemasan 1/2kg
312,"Telur Mini 1 Peti,Gula Pasir Kemasan 1/2kg"
313,"Mie Burung Dara 1 Dus,Tepung Kanji Gunung Agung 1 Sak"
314,Minyak Sawit Kemasan Jerigen
315,Telur Biasa 1 Peti
316,Telur Biasa 1 Peti
317,Telur Biasa 1 Peti
318,Minyak Goreng Curah 1 Dus
319,"Tepung Beras Rose Brand Kemasan 1kg,Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus,Minyak Sawit Kemasan 1 Liter,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Tepung Terigu Payung 1 Sak"
320,Gula Jawa
321,"Telur Biasa 1 Peti,Tepung Terigu Cakra 1 Sak,Minyak Sawit Kemasan Jerigen"
322,"Gula Jawa,Mie Jagung 1 Dus"
323,Tepung Terigu Segitiga Biru 1 Sak

